1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,沉穩,清晰地,持續,小心謹慎地,5,8,生動的故事
很明確,熱情,受限地,持續,堅定地,2,9,
不夠集中,沉穩,含糊地,游移,小心謹慎地,5,6,
很明確,沉穩,只看的到肩膀以上所以無法判斷,持續,堅定地,7,6,故事有趣，片末表情生動
很明確,沉穩,,持續,堅定地,7,6,
很明確,自然,清晰地,持續,堅定地,4,9,小時候很皮欸哈哈哈還好有驚無險!
很明確,沉穩,清晰地,持續,堅定地,8,8,因為易玲本來就是我同系的同學，影片中一些有趣的表情，也都有展現出她平常的部分，而關於這個禿頭的故事，也是我從沒聽過的，整體對我來說新鮮也有趣。
很明確,沉穩,含糊地,持續,堅定地,6,9,自然
還行,蠻穩的吧,手出境率不高 感覺手勢只是個輔助,持續,小心謹慎地,3,6,很可愛他一直笑
很明確,沉穩,清晰地,持續,堅定地,3,9,很自然，故事很好笑
很明確,沉穩,清晰地,持續,堅定地,5,6,踩到海裡河豚不能野餐，好可憐
很明確,沉穩,受限地,游移,小心謹慎地,5,7,內容表達清楚
很明確,沉穩,受限地,游移,小心謹慎地,5,6,你的傷口感覺很痛！！！整體主題蠻明確的。
很明確,沉穩,清晰地,持續,堅定地,2,9,內容很有趣，表達清楚
很明確,沉穩,清晰地,持續,堅定地,6,6,故事滿有趣的，也蠻生動的
很明確,沉穩,受限地,持續,自由地、輕鬆舒服地,3,8,聽被觀察者演說很舒服，可以沈靜在她受傷的故事中。
很明確,沉穩,清晰地,持續,堅定地,5,6,
很明確,熱情,受限地,持續,堅定地,5,8,在演講時滿有趣的，也許是因為題材取自自己的經驗
很明確,沉穩,含糊地,持續,堅定地,3,6,很穩的聲音音調
很明確,沉穩,清晰地,持續,堅定地,3,4,
很明確,沉穩,清晰地,持續,堅定地,4,,我替他的頭感到很可憐：（災害連連但還可以正常思考，真好～看來頭沒有撞壞
很明確,沉穩,清晰地,持續,堅定地,4,7,學姐說的很穩
兩個傷口的成因有理解,沉穩,受限地,游移,稀鬆平常,5,8,被河豚刺到的機率
,,,,,,,
不夠集中,熱情,清晰地,游移,小心謹慎地,6,7,
很明確,沉穩,受限地,持續,堅定地,8,7,敘述清晰，可明顯感受到她的無奈，若能分享更多心得(譬如事件帶給她的影響)就更好了
很明確,沉穩,清晰地,持續,堅定地,1,10,口條好清晰
很明確,沉穩,清晰地,游移,,6,5,傷口故事很好玩，都很荒謬 講的都很清楚
