1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,沉穩,清晰地,持續,堅定地,10,10,
很明確,不安,清晰地,持續,堅定地,3,4,我的學生證之前被我家的狗咬壞了 超氣
很明確,沉穩,受限地,游移,小心謹慎地,2,8,大學四年學生證真的一定會不見一次欸
很微弱,做作,含糊地,游移,猶豫不決地,7,3,為什麼要遮嘴巴拉
很明確,沉穩,受限地,持續,小心謹慎地,3,4,希望講話時手不要遮住臉，好像因為太謹慎，講話有點刻意不自然。
很明確,不安,受限地,游移,平淡地,4,3,為甚麼要遮住臉，明明臉蛋很漂亮
很明確,不安,清晰地,游移,堅定地,4,7,故事很有趣，講得很好
很明確,沉穩,受限地,游移,堅定地,3,8,內容有趣講話也不錯。學生證...
很微弱,做作,含糊地,游移,小心謹慎地,4,4,
很微弱,不安,受限地,游移,小心謹慎地,5,6,
很明確,沉穩,受限地,游移,小心謹慎地,2,7,從頭到尾雙手放在前面很可愛
不夠集中,不安,含糊地,游移,猶豫不決地,6,6,不安
很微弱,不安,含糊地,游移,含糊,4,5,
很明確,不安,受限地,游移,小心謹慎地,4,4,再清晰點更好
很明確,不安,受限地,游移,念稿,3,4,僵硬
很明確,做作,含糊地,持續,小心謹慎地,4,3,
很微弱,不安,受限地,游移,猶豫不決地,4,6,
很微弱,不安,受限地,游移,猶豫不決地,4,6,
很明確,不安,受限地,游移,小心謹慎地,6,6,
很明確,沉穩,受限地,游移,堅定地,2,8,學生證真的很醜
很明確,不安,清晰地,游移,小心謹慎地,1,3,很害羞的同學
很微弱,不安,含糊地,游移,小心謹慎地,7,8,
不夠集中,不安,受限地,持續,小心謹慎地,4,5,
不夠集中,不安,清晰地,持續,小心謹慎地,6,6,
很明確,不安,受限地,游移,猶豫不決地,3,7,在唸稿
很微弱,不安,含糊地,游移,猶豫不決地,6,6,
很明確,沉穩,清晰地,持續,堅定地,6,10,敘述得很有趣，偷笑很可愛
不夠集中,熱情,受限地,游移,小心謹慎地,3,8,
很明確,不安,受限地,游移,機器,3,1,講話像國小生被叫起來朗讀作文，感覺得出來在念稿，覺得不要遮嘴巴
很明確,不安,受限地,持續,小心謹慎地,5,6,
很微弱,做作,受限地,游移,猶豫不決地,5,4,感覺講話含糊不清 不懂為什麼嘴巴要遮起來
不夠集中,一直遮住嘴巴,受限地,游移,小心謹慎地,5,4,把手遮住自己 會更顯你的緊張
