1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,熱情,清晰地,游移,堅定地,1,10,結尾跟故事沒什麼關連
很微弱,不安,清晰地,游移,小心謹慎地,4,7,好有趣的經歷
很明確,不安,含糊地,游移,猶豫不決地,7,5,手勢過多而且沒有解釋性，但結尾勵志很棒～
很明確,熱情,清晰地,游移,堅定地,5,8,故事生動且感受分享感人
很微弱,熱情,清晰地,持續,,5,5,
很明確,沉穩,清晰地,持續,堅定地,5,8,每段感情都有值得學習的地方，加油~~~
很明確,沉穩,清晰地,持續,堅定地,4,8,珮欣是我的學妹，平常相處也很好，所以這個故事我有依稀聽過，但不同於平常朋友的閒聊，對於鏡頭或是不認識她的同學們，我覺得這個影片裡有更為活潑，故事也更為完整生動。
很明確,沉穩,清晰地,游移,堅定地,8,9,受傷的靈魂
不夠集中,不安,清晰地,游移,猶豫不決地,6,6,故事有點傻眼 但他說得蠻有趣的
很明確,熱情,清晰地,游移,堅定地,3,9,這種男人就不要了，氣死人! 恭喜你成長，要好好愛自己 加油~
還可以但沒有到很明確,算沈穩但是有點不安,受限地,一點點猶疑,小心謹慎地,6,5,很勇敢面對男朋友出軌的事實，如果是我我不敢獨自面對
很明確,做作,清晰地,游移,小心謹慎地,4,8,感覺小動作有點多
很明確,熱情,清晰地,持續,堅定地,6,8,整個被你的故事吸引進去了，講的很棒。
很明確,熱情,清晰地,游移,堅定地,5,7,表達很好，很有情緒
很明確,熱情,清晰地,持續,堅定地,5,6,感情一直是每個人在不同階段都會遇到的問題，要加油，希望你能遇到很好的人
很明確,熱情,清晰地,持續,堅定地,1,10,有時候在思考時，會抓裙子，不過因為被觀察者很真誠的分享自己抓姦的愛情，這些小舉動就變成很可愛的人格特質，觀察者直接買單。
很明確,熱情,清晰地,游移,堅定地,6,6,
很明確,熱情,清晰地,游移,堅定地,5,9,講的故事很有趣，細節描述很精彩，也對自己提出反思，讚讚
很明確,沉穩,清晰地,持續,堅定地,6,8,
很明確,不安,清晰地,游移,堅定地,2,3,
很明確,熱情,清晰地,稍微猶疑,堅定地,7,5,很同情的遭遇，我覺得玩交友軟體真的要小心以免被騙，他的肢體、講話都蠻激動地看得出來他很在意這段戀情
很明確,熱情,清晰地,游移,堅定地,6,7,說的很生動！
很明確,有點不安但有hold住,清晰地,努力的看著鏡頭的感覺,小心謹慎地,5,8,佩欣可愛
很明確,熱情,清晰地,游移,堅定地,,,
很明確,熱情,清晰地,持續,堅定地,6,9,
很明確,沉穩,含糊地,持續,堅定地,6,8,喜歡她的自然和吐訴傷痛的勇氣，有分享事後的反思與成長很不錯，可惜的是有點結巴
很明確,熱情,清晰地,,堅定地,3,8,很活潑
很明確,不安,含糊地,游移,猶豫不決地,8,7,"加油！！我失戀也超級難過 但是每一段感情都會學到一些東西
你說的很棒"
很明確,沉穩,清晰地,游移,小心謹慎地,3,8,
很明確,沉穩,清晰地,持續,堅定地,2,10,清晰明快
很明確,不安,受限地,游移,小心謹慎地,7,5,
很明確,熱情,清晰地,持續,堅定地,2,9,表情動作自然生動
很明確,沉穩,清晰地,游移,堅定地,4,6,希望你幸福
不夠集中,不安,受限地,游移,,5,6,
很明確,熱情,清晰地,游移,堅定地,8,7,可以不要晃來晃去會更好
很明確,熱情,清晰地,游移,堅定地,6,8,
